"event_name","group","date","category"
"Zen Meditation Boston | Somerville","by The Zen Art Centericon4.9","Thu, Dec 18 · 7:00 PM EST","Health Wellbeing"
"Building self confidence and self esteem","by New York Life Coaching (Empowerment Evolutionaries)icon4.5","Every Wed • Dec 10 · 7:00 PM EST","Health Wellbeing"
"Surviving the Holiday Circus of Narcissists, Sociopaths & Pocket Watchers","by The Relationship Secretsicon4.7","Sat, Dec 13 · 1:30 PM EST","Health Wellbeing"
"Wellness Collective Exclusive **Movie Night: Spirited**","by The Chronically ChILL Meetup Groupicon4.9","Fri, Dec 5 · 6:30 PM EST","Health Wellbeing"
"Overcoming Social Anxiety to Become Confident in Yourself!","by You Can Change Your Emotional Intelligenceicon3.6","Mon, Dec 8 · 7:00 PM EST","Health Wellbeing"
"Mindful Dating™ Webinar. Attract love without losing yourself","by Mindful Dating ™: Attract love without losing yourselficon4.5","Every two weeks on Thu • Dec 11 · 8:30 PM EST","Health Wellbeing"
"Mindful Dating™  Secure Attraction Group | Root Chakra","by Mindful Dating ™: Attract love without losing yourselficon4.5","Sat, Dec 6 · 10:00 AM EST","Health Wellbeing"
"The Flow State Awakening: The Four Stages of Consciousness","by Ottawa Hypnosis and NLP Meetup Groupicon4.8","Wed, Dec 17 · 5:00 PM EST","Health Wellbeing"
"Take Control Of Your Life, Freedom From Negative Thoughts & Irrational Emotions","by What Controls Your Emotions, Happiness And Confidenceicon4.1","Mon, Dec 8 · 7:00 PM EST","Health Wellbeing"
"Terminer sa journée le cœur en paix !","by Free Meditation Gratuite  (Québec)  -  Sahaja Yogaicon4.8","Every Mon • Dec 8 · 8:00 PM EST","Health Wellbeing"
"Mindful Dating™ Webinar. Attract love without losing yourself","by Mindful Dating ™: Attract love without losing yourselficon4.5","Every two weeks on Tue • Dec 16 · 7:00 PM EST","Health Wellbeing"
"Integrating patience","by Self-awareness and mindfulness class - onlineicon4.6","Sun, Dec 7 · 8:00 PM EST","Health Wellbeing"
"Decoding The Truman Show's Hidden Spiritual Messages","by Conscious Creation & Connectionicon4.8","Tue, Dec 9 · 6:30 PM EST","Health Wellbeing"
"Thriving or surviving through the holiday season?","by Self-awareness and mindfulness class - onlineicon4.6","Thu, Dec 11 · 8:00 PM EST","Health Wellbeing"
"Let's Craft Together! BYOC (Bring your own craft) HOLIDAY PARTY!","by The Art of Crafting - mentally recharge while making thingsicon4.8","Tue, Dec 16 · 7:00 PM EST","Health Wellbeing"
"Online OCD Support Group","by Stop_My_OCDicon4.9","Sat, Dec 6 · 10:00 AM EST","Health Wellbeing"
"Red Flags, Fights & Broken Trust: Fixing Relationships That Hurt","by End Stress, Self-Doubt & Painful Relationships – Cleveland Oicon3.5","Mon, Dec 15 · 7:00 PM EST","Health Wellbeing"
