"event_name","group","date","category"
"Bulldog Poker 1/3 NL Holdem Tuesday Night","by BULLDOG POKER Group in BROOKLYN","Every Tue • Dec 9 · 7:30 PM EST","Games"
"Wednesday Night Games: Game TBD","by Female Identifying Gamersicon4.7","Wed, Dec 10 · 8:00 PM EST","Games"
"Thursday Night 1/1 NLH (Bushwick)","by Troutman Poker Club (Bushwick)","Every Thu • Dec 4 · 7:30 PM EST","Games"
"Beginners D&D Night","by Brooklyn Dungeons and Dragons Meetupicon5.0","Every Fri • Dec 5 · 7:00 PM EST","Games"
"1/1 NLH - POKER- court square-  near trader Joe's long Island city","by 5pointz Poker club","Every Mon, Wed, Fri • Dec 5 · 7:00 PM EST","Games"
"Sunday Night 1/1 NLH (Bushwick)","by Troutman Poker Club (Bushwick)","Every Sun • Dec 7 · 7:30 PM EST","Games"
"Board Game Night","by Jersey City Board Games Meetupicon4.9","Every Tue • Dec 23 · 6:00 PM EST","Games"
"Wednesday Night 1/3 NL Poker!","by Harrison 1 3 NL Poker Madness","Every Wed • Dec 10 · 7:30 PM EST","Games"
"Micro-stakes .25/.50 NLH (Bushwick)","by Troutman Poker Club (Bushwick)","Every two weeks on Sat • Dec 6 · 7:30 PM EST","Games"
"Monday Night 2/2 PLO (Bushwick)","by Troutman Poker Club (Bushwick)","Every two weeks on Mon • Dec 15 · 7:30 PM EST","Games"
"Wednesday Night $2-5 No Limit Holdem","by Williamsburg Poker Club 2024 - Brooklyn's Best Poker Game!icon4.6","Every Wed • Dec 10 · 8:00 PM EST","Games"
