"event_name","group","date","category"
"Metro Denver Chapter Meeting","by People and Pollinators Action Networkicon4.7","Monthly • Wed, Dec 10 · 10:00 AM MST","Community Environment"
"Shared Dreams Circle #3","by Bringing Justice Home: Community & Connectionicon4.8","Thu, Dec 18 · 6:30 PM EST","Community Environment"
"Knowledge is Power.","by Henderson Help Each Other Experience Growth Meetup Group","Every Sat • Dec 6 · 11:00 AM EST","Community Environment"
"Game Night","by Wichita Oasisicon4.8","Every Wed • Dec 10 · 8:00 PM CST","Community Environment"
"Virginia Climate Legislative Preview Call","by NoVA New Leaf - Climate and Environmental Action Team!icon4.9","Wed, Dec 10 · 7:00 PM EST","Community Environment"
"DC Chapter Zero Waste Committee Meeting","by Sierra Club DC Chaptericon4.8","Monthly • Tue, Dec 9 · 6:30 PM EST","Community Environment"
"LetsBMore Monthly Meeting","by LetsBMore - Baltimore TimeBank Meetupicon4.7","Monthly • Thu, Dec 11 · 7:00 PM EST","Community Environment"
"Create a Life You Love - Peace Starts With me","by Peace Starts With Me","Every Sat • Dec 6 · 10:30 AM EST","Community Environment"
"Biz Book Pub Hub Community Connections","by Entrepreneurs Writing Business Booksicon4.7","Wed, Dec 17 · 2:00 PM EST","Community Environment"
"Treasure Coast Worship Group","by Palm Beach Friends (Quaker) Meetingicon4.8","Every Sun • Dec 7 · 4:30 PM EST","Community Environment"
"A Call From Olympus - SignalTwo","by Olympus Edge","Every Sun • Dec 7 · 2:00 PM EST","Community Environment"
"Saturday Quaker Coffee Hour on Zoom","by Palm Beach Friends (Quaker) Meetingicon4.8","Every Sat • Dec 6 · 11:00 AM EST","Community Environment"
"BayState Bridge Together Online (Monday)","by Baystate Bridge Partiesicon4.9","Every Mon • Dec 8 · 6:00 PM EST","Community Environment"
"Virtual Kiwanis Club Weekly Meeting","by Kiwanis Club of Lansingicon4.3","Every Thu • Dec 11 · 12:00 PM EST","Community Environment"
"Online Community Organizers in Washington DC area! [Zoom Virtual Meetup]","by Community Organizers in the Metropolitan Washington DC Areaicon5.0","Monthly • Sun, Dec 21 · 1:00 PM EST","Community Environment"
"Regular Friday ONLINE EcoDharma","by EcoDharma Weekly Evening -- Community Meditation ONLINEicon4.6","Every Fri • Dec 5 · 7:00 PM EST","Community Environment"
"Public Meeting - Monthly - Virtual - Oak Park Commons Cohousing","by Oak Park Commons Cohousing","Monthly • Thu, Dec 11 · 7:00 PM CST","Community Environment"
"Engineers Without Borders Raleigh (EWB RTP) Project Meeting","by EWB-USA, Research Triangle Professional Chaptericon4.8","Every Mon • Dec 8 · 5:30 PM EST","Community Environment"
"National Seniors in Cohousing monthly Q&A","by Community Spirit  Co-Housing Initiative of Western Mass.icon4.7","Sat, Dec 20 · 12:00 PM EST","Community Environment"
"December Public Meeting (Hybrid Format)","by NCTCOG Transportation Events","Mon, Dec 8 · 12:00 PM CST","Community Environment"
"1977 OPW Reunion Group: Connecting with Old Friends Again","by 1977 OPW Reunion Group","Monthly • Fri, Dec 12 · 7:00 PM CST","Community Environment"
