"event_name","group","date","category"
"Our Holiday Party at The Rose, Free Admission!","by NYC Singles for Casual Cocktailsicon4.4","Fri, Dec 12 · 6:00 PM EST","Socializing"
"DMV African Professionals Diaspora Meetup; Let’s Build Community!","by African Diaspora Professionals DMVicon4.7","Every two weeks on Fri • Dec 5 · 7:00 PM EST","Socializing"
"Dinner at Bar Primi","by NYC Socialicon4.9","Fri, Dec 19 · 6:45 PM EST","Socializing"
"Foodie warms here - Peruvian Food","by Neverwinter Free Partiesicon4.8","Sun, Dec 14 · 6:40 PM EST","Socializing"
"Harlem Daytime Party: 12-Year Reunion Celebration 🎶🍹(featuring DJ Kaos) !!!","by NYC Black & Latino Afterwork Drinks & Networking Groupicon4.5","Sat, Dec 6 · 2:00 PM EST","Socializing"
"Children’s Arts & Crafts at Church","by Fun events in NY!icon4.8","Every Sun • Dec 7 · 4:30 PM EST","Socializing"
"Senegalese Jollof Rice at Saint Louis Restaurant Keur Yayou Dara","by Xennials Dining Groupicon4.8","Sat, Dec 6 · 6:30 PM EST","Socializing"
"Classic French bistro fare @ Le Baratin","by Manhattan Ethnic Foodiesicon4.8","Tue, Dec 16 · 6:30 PM EST","Socializing"
"Holiday Pub Crawl! 🧑‍🎄🍺","by Good Vibes & Cool Peopleicon4.9","Sat, Dec 20 · 5:30 PM EST","Socializing"
"Dance Party Lip Sync Karaoke on Zoom 👏 Every Saturday @ 9:00 P.M. ET","by The Best Online Karaoke Group Meetupicon4.8","Every Sat • Dec 6 · 9:00 PM EST","Socializing"
"9:30 pm START: Let's Play Codenames!! (Directions below) - Fun Social Addiction","by Virtual Social Events for Professionals (Ages 35+)icon4.8","Sat, Dec 13 · 9:30 PM EST","Socializing"
"Lets Dine NYC: at Carmines","by Let’s Dine NYCicon4.8","Fri, Dec 19 · 7:15 PM EST","Socializing"
"Let's See the Bronx Zoo Holiday Lights!!","by Let's Just Have Funicon4.6","Sat, Dec 13 · 4:30 PM EST","Socializing"
"Liberty Science Center After Dark","by Jersey City Social - 🍓 letsbunch.com 🍓icon4.8","Thu, Dec 18 · 7:00 PM EST","Socializing"
"Karaoke event -  post Thanksgiving edition 🦃","by GTBN (Good To Be Nerds)icon4.8","Sun, Dec 7 · 4:30 PM EST","Socializing"
"Let's Walk✨... 🌉The Willamsburg Bridge🌉","by Let’s Hang Outicon4.8","Sun, Dec 7 · 10:00 AM EST","Socializing"
"Foodie warms here - Italian food (Brooklyn)","by Neverwinter Free Partiesicon4.8","Sat, Dec 20 · 2:00 PM EST","Socializing"
"16 course Classic set at Uka Omakase","by Xennials Dining Groupicon4.8","Mon, Dec 15 · 7:30 PM EST","Socializing"
"'Single To Soulmate!' - 90 Minute Free Masterclass for Women","by Conscious Women Manifesting Abundance - Pittsburghicon3.6","Tue, Dec 9 · 8:00 PM EST","Socializing"
"Lets Dine NYC at Tao's Downtown","by Let’s Dine NYCicon4.8","Sun, Dec 7 · 11:30 AM EST","Socializing"
"Let's Play Codenames!! (Directions below) - Fun Social Addiction","by Virtual Social Events for Professionals (Ages 35+)icon4.8","Fri, Dec 19 · 8:00 PM EST","Socializing"
"Songs of the Season at Lincoln Center - singalong!","by NYC Weekday+ Activities for Gen X Womenicon4.9","Sat, Dec 6 · 1:00 PM EST","Socializing"
"Holiday Brunch @ Woodbines 🧑‍🎄","by Good Vibes & Cool Peopleicon4.9","Sat, Dec 20 · 2:00 PM EST","Socializing"
"Jackbox Online Gaming Social (Thursdays)","by Neurodivergent Districticon4.6","Thu, Dec 4 · 7:00 PM EST","Socializing"
"Michelin ⭐️ Yingtao Turns 2! AYCE w/ N25 Caviar & Open Bar 🇨🇳 🍹 [PREPAID]","by @i8NYC presents: EUPHORIA 🍽️😋 [MAX 6PPL]icon4.7","Fri, Dec 5 · 6:00 PM EST","Socializing"
"Myers Briggs Personality Type Mingle & Afterparty — Hosts: ¥, Margarita, Mike","by NYC Socialsicon4.5","Sat, Dec 13 · 3:00 PM EST","Socializing"
"$11-At This Performance-show by Bdway understudies/cash dinner","by Fabulous females seeking female friends over 50icon4.8","Mon, Dec 15 · 6:00 PM EST","Socializing"
"CHICAGO STEPPIN' LESSONS- BROOKLYN THURSDAYS","by New York & New Jersey ""Chicago Style"" Steppersicon4.8","Every Thu • Dec 4 · 7:00 PM EST","Socializing"
"Social Coworking Session @ Moxy Chelsea","by New York Coworking Friendsicon4.8","Every Tue • Dec 9 · 10:00 AM EST","Socializing"
"Coworking Session & Holiday Social @ Hekate Cafe 🎄🥂✨","by New York Coworking Friendsicon4.8","Mon, Dec 15 · 1:00 PM EST","Socializing"
"Singles Matchmaking (not an event - ongoing sign up)","by Maryland Singles Social Clubicon4.3","Mon, Dec 22 · 7:00 PM EST","Socializing"
"Waitlist: Gay Matchmaking Mixer","by Matchmaking Mixer for straight singles, gay and lesbian","Sat, Jan 3, 2026 · 1:00 PM EST","Socializing"
"Last BHHH Meetup of 2025...(or ever 😅)","by Brooklyn Happy Hour Homies IIicon4.8","Fri, Dec 5 · 7:00 PM EST","Socializing"
"Holiday High Tea","by NYC Weekday+ Activities for Gen X Womenicon4.9","Fri, Dec 12 · 1:00 PM EST","Socializing"
