"event_name","group","date","category"
"Ukulele Playground on Sunday Morning - International Jam","by Philadelphia Main Line Ukulele Groupicon4.8","Every Sun • Dec 14 · 8:00 AM EST","Music"
"Winter/holiday karaoke","by New Jersey karaoke groupicon4.9","Sun, Dec 14 · 7:00 PM EST","Music"
"Let’s Sing! December Birthday Karaoke on Zoom!","by Silently Seeking Singersicon4.7","Mon, Dec 15 · 8:15 PM EST","Music"
"Virtual Online Broadway Showtunes Karaoke","by Broadway & Showtunes Karaokeicon4.6","Mon, Dec 15 · 8:15 PM EST","Music"
"How to Find Your Hook","by At-Home Songwriting Workshops","Sat, Dec 13 · 10:00 AM CST","Music"
"NO theme Open mic","by New Jersey karaoke groupicon4.9","Sat, Dec 20 · 7:30 PM EST","Music"
"2st Thursday Meeting","by Dallas Songwriters Associationicon4.7","Monthly • Thu, Dec 11 · 7:00 PM CST","Music"
"2nd Thursday Meeting via Zoom","by Dallas Songwriters Associationicon4.7","Monthly • Thu, Dec 11 · 7:00 PM CST","Music"
"Ukulele Club Night - Virtual","by South Street Ukulele Club (Philadelphia)icon4.9","Monthly • Wed, Dec 17 · 8:00 PM EST","Music"
"NYC Ukulele Meetup ONLINE Showcase & Jam","by The New York City Ukulele Meetup Groupicon4.8","Monthly • Fri, Dec 12 · 7:00 PM EST","Music"
"The Metal Frequency Show (www.radiohp.net)","by NY/NJ/CT Metal Groupicon4.6","Every Tue • Dec 9 · 9:00 PM EST","Music"
"The ABCs Of Metal Show","by NY/NJ/CT Metal Groupicon4.6","Every Fri • Dec 5 · 9:00 PM EST","Music"
"Singing is Healing LIVE! On Insta! Mondays 9pm EST!","by SING FROM YOUR SOUL!icon4.8","Every Mon • Dec 8 · 9:00 PM EST","Music"
"TBUS Zoom Open Mic Night with Tyler","by The Tampa Bay Ukulele Societyicon4.8","Sat, Dec 20 · 6:30 PM EST","Music"
"HOW TO MAKE MONEY FROM MUSIC + THE THINGS YOU LOVE","by DIY Musician: Artist and Band Supporticon4.8","Tue, Dec 9 · 2:30 PM EST","Music"
"Friendzy Trivia Night On Zoom","by Crazy Fun Stuff To Do In NYCicon4.2","Every Wed • Dec 10 · 8:00 PM EST","Music"
"Live Show -Records For Sale - Online Free event.","by On Demand Vinyl","Every Sun, Tue • Dec 7 · 8:00 PM CST","Music"
"Online Zoom Trivia Night - Twisted Trivia","by Crazy Fun Stuff To Do In NYCicon4.2","Every Fri • Dec 12 · 7:00 PM EST","Music"
"Songwriter's Critique (Online)","by The Nashville Songwriters Meetup Groupicon4.8","Monthly • Sun, Dec 28 · 1:00 PM CST","Music"
"Top 500 billboard karaoke","by New Jersey karaoke groupicon4.9","Fri, Dec 26 · 1:00 PM EST","Music"
"Anne’s 4th Sunday Round Robin Strum-Along","by Philadelphia Main Line Ukulele Groupicon4.8","Monthly • Sun, Dec 28 · 1:00 PM EST","Music"
"FREE (ONLINE): Make songs for someone special-No music exp needed","by Songs for Someones","Every two weeks on Wed • Dec 17 · 8:00 PM EST","Music"
"New Year's Eve Play-In Gathering on Zoom","by Philadelphia Amateur Classical Musiciansicon4.8","Wed, Dec 31 · 8:00 PM EST","Music"
"Online Social Game Night","by Crazy Fun Stuff To Do In NYCicon4.2","Every Fri • Dec 19 · 7:00 PM EST","Music"
"Katy Vocal Express Weekly Rehearsal","by Katy Vocal Express Chorusicon5.0","Every Mon • Dec 8 · 7:00 PM CST","Music"
"Virtual HS Friday Funday Meetup Community","by Virtual HS Friday Funday Meetup Community","Every two weeks on Fri • Dec 12 · 12:00 PM CST","Music"
