"event_name","group","date","category"
"Bad Movie Night Brooklyn: Jack Frost (1997)","by Bad Movie Night Brooklynicon4.8","Thu, Dec 11 · 8:00 PM EST","Hobbies Passions"
"Monthly OMGNYC (Origami Meetup Group) meeting!","by OMG NYC (Origami Meetup Group! NYC)icon4.9","Monthly • Sat, Dec 20 · 11:30 AM EST","Hobbies Passions"
"""The Empusium,"" by Olga Tokarczuk","by The Millennialish Book Clubicon4.8","Sun, Dec 7 · 3:00 PM EST","Hobbies Passions"
"BROOKLYN Smutty Book Club - Full Sack by Layla Fae","by Brooklyn Smutty Book Clubicon4.8","Monthly • Wed, Dec 17 · 7:00 PM EST","Hobbies Passions"
"Romcom Book Club: The Holiday Trap by Roan Parrish","by NYC Romcom Bookclub 💕icon5.0","Sun, Dec 7 · 11:30 AM EST","Hobbies Passions"
"African film- So Long a Letter","by 50s+ Foreign Film Fansicon4.5","Thu, Dec 11 · 7:00 PM EST","Hobbies Passions"
"WRS Nov / Dec 2025 Book Club Meetup","by Well Read Sistas Book Clubicon4.8","Sun, Dec 14 · 3:00 PM EST","Hobbies Passions"
"Sip and Stitch - Virtual","by The Boston Stitchesicon4.9","Every two weeks on Thu • Dec 11 · 7:00 PM EST","Hobbies Passions"
"Workshop Legs Two","by Union Square Photography Friendsicon4.9","Sun, Dec 14 · 10:00 AM EST","Hobbies Passions"
"Special Workshop Vik  Bodyscape","by Union Square Photography Friendsicon4.9","Sun, Dec 14 · 1:00 PM EST","Hobbies Passions"
"Share What You've Been Reading (Nonfiction)","by Readers Exchange","Thu, Dec 4 · 6:00 PM EST","Hobbies Passions"
"Meetup One Hundred and Thirty Six: Zeno's Conscience","by The Williamsburg Modern Lit Book Clubicon4.9","Wed, Dec 10 · 7:30 PM EST","Hobbies Passions"
"DISCUSS “A MAGICAL NEW YORK CHRISTMAS” IN PERSON!","by Women's 'Novels of New York' Book Clubicon4.9","Wed, Dec 10 · 6:45 PM EST","Hobbies Passions"
"ABEL CINE - Convergence 2025 - NYC","by ALLCREATIVE NYicon4.7","Mon, Dec 8 · 12:00 PM EST","Hobbies Passions"
"Workshop Legs Two","by Union Square Photography Friendsicon4.9","Sat, Dec 20 · 10:00 AM EST","Hobbies Passions"
"Strange Sally Diamond - Liz Nugent (Dec)","by NNJ Mystery, Thriller, Sci-Fi Book Club (21+)icon4.8","Mon, Dec 8 · 6:30 PM EST","Hobbies Passions"
"Retro Video Game night","by Free Events NYCicon4.5","Every Sat • Dec 6 · 8:00 PM EST","Hobbies Passions"
"Crochet Santa Coasters/Ornaments","by Online Crochet Classes (Beginner to Advanced)icon4.7","Sat, Dec 13 · 1:00 PM EST","Hobbies Passions"
"The Hearing Trumpet by Leonora Carrington","by NYRB (New York Review Books) Book Clubicon4.9","Sat, Dec 6 · 11:00 AM EST","Hobbies Passions"
"Scenic Stitches: South Street Seaport","by NYC Knitters","Sat, Dec 20 · 2:00 PM EST","Hobbies Passions"
"End of F1 season - Christmas event","by NYC Car Enthusiastsicon4.8","Fri, Dec 12 · 6:00 PM EST","Hobbies Passions"
"Tabletop Tuesday - Board & Card Game Night With The North Jersey Geeks & Nerds","by North Jersey Geeks & Nerdsicon4.8","Every Tue • Dec 9 · 6:00 PM EST","Hobbies Passions"
"Board & Card Game Day With The North Jersey Geeks & Nerds","by North Jersey Geeks & Nerdsicon4.8","Every Sun • Dec 7 · 12:00 PM EST","Hobbies Passions"
"Bad Movie Night Brooklyn: Silent Night, Deadly Night 5","by Bad Movie Night Brooklynicon4.8","Sat, Dec 13 · 8:00 PM EST","Hobbies Passions"
"Fieldtrip Moma","by Union Square Photography Friendsicon4.9","Fri, Dec 5 · 2:00 PM EST","Hobbies Passions"
"Romanian film- THE NEW YEARS THAT NEVER CAME + Q&A","by 50s+ Foreign Film Fansicon4.5","Sun, Dec 7 · 5:15 PM EST","Hobbies Passions"
"""The Great Alone"", by Kristen Hannah","by JC Book Clubicon4.8","Mon, Dec 8 · 6:30 PM EST","Hobbies Passions"
"Sunday Crafternoons --Every Kind of Project Welcome!","by Art & Craftsthetic - relax while creatingicon4.8","Sun, Dec 14 · 2:00 PM EST","Hobbies Passions"
"House of Second Chances by Susan Smith","by Pints and Prose: Irish Book Clubicon4.8","Tue, Dec 9 · 7:00 PM EST","Hobbies Passions"
"Create a Holiday Card","by The Create Crew","Sun, Dec 14 · 2:00 PM EST","Hobbies Passions"
"November Meeting - This Is How You Lose the Time War - Amal El-Mohtar","by Upper Manhattan/West Side Romance Book Clubicon5.0","Sun, Dec 7 · 11:00 AM EST","Hobbies Passions"
"Queens Fiber Crafters -  Event in Jackson Heights","by Queens Fiber Craftersicon4.8","Wed, Dec 17 · 7:30 PM EST","Hobbies Passions"
"Zootopia 2 (Buy Your Own Tickets) Details TBA)","by We Love Filmsicon4.4","Sat, Dec 6 · 4:00 PM EST","Hobbies Passions"
"All I Want For Christmas Is Revenge by K.A. Merikan","by M M Romance Book Clubicon5.0","Wed, Dec 10 · 7:00 PM EST","Hobbies Passions"
