"event_name","group","date","category"
"Tu voz interior importa — Encuentro de Conversación y Conexión","by HABLA Y SANA – Grupo Emocional en NY (Formato Español)","Sat, Dec 13 · 9:00 AM EST","New Group"
"Casual Mixer for Single Gay Men","by New York LGBTQ+ Singles","Fri, Dec 19 · 7:00 PM EST","New Group"
"Making Money Online in Just 14 Days! Live Training Series","by Destination Workers Adventure Seekers Clubicon5.0","Sat, Dec 13 · 3:00 PM EST","New Group"
"Naada Live","by Naada Meetup Group","Sat, Dec 6 · 7:00 PM EST","New Group"
"Decoding The Truman Show's Hidden Spiritual Messages","by Conscious Creation & Connectionicon4.8","Tue, Dec 9 · 6:30 PM EST","New Group"
"Chess meetup in a bar !","by ChessBar in New York - Chess Meetups","Every Tue • Dec 9 · 12:30 AM EST","New Group"
"Online OCD Support Group","by Stop_My_OCDicon4.9","Sat, Dec 6 · 10:00 AM EST","New Group"
"B.R.A.V.E 5 Week Trauma Recovery Series - WEEK 3 Allow Your Feelings","by Greensboro Leaving Traumaland Meetup Group","Tue, Dec 16 · 7:00 PM EST","New Group"
"Will It Ever Go Back to Normal? Redefining What ‘Normal’ Means","by Accepting Estrangement: Navigating Family Disconnectionicon5.0","Thu, Dec 4 · 7:30 PM EST","New Group"
"The Untethered Soul Circle","by Midlife Awakening Collectiveicon4.9","Tue, Dec 16 · 7:00 PM EST","New Group"
"Self-Care Workshop: Learn Tools & Make Your Self-Care a Priority","by Self-Care Sanctuary Meetup Group","Sun, Dec 7 · 7:00 PM EST","New Group"
